	id	artist_id	event_name	venue_name	venue_country	venue_country_code	venue_city	venue_postalCode	venue_address	venue_location_latitude	venue_location_longitude	event_DateTime
54	55	2	The Weeknd - The After Hours Tour	Hallenstadion	Switzerland	CH	Zürich	8050	Wallisellenstrasse 45	47.41161	8.55166	2022-11-02T18:00:00Z
55	56	2	The Weeknd - The After Hours Tour	O2 Arena	Czech Republic	CZ	Praha 9	19000	Českomoravská 2345/17a	50.10479	14.49377	2022-11-05T19:00:00Z
56	57	2	The Weeknd - After Hours Til Dawn Tour	Rogers Centre	Canada	CA	Toronto	M5V 1J3	1 Blue Jays Way	43.6417384	-79.3917447	2022-09-22T22:30:00Z
57	58	2	The Weeknd - After Hours Til Dawn Tour	Rogers Centre	Canada	CA	Toronto	M5V 1J3	1 Blue Jays Way	43.6417384	-79.3917447	2022-09-23T22:30:00Z
58	59	2	The Weeknd: the After the Hours Tour - VIP Packages	The SSE Arena, Belfast	Great Britain	GB	Belfast	BT3 9QQ	2 Queens Quay	54.60391677	-5.91356277	2022-10-13T17:00:00Z
59	60	2	The Weeknd - The After Hours Tour | Platinum Tickets	Ziggo Dome	Netherlands	NL	Amsterdam	1101 AX	De Passage 100	52.31778	4.93636	2022-10-03T18:00:00Z
60	61	3	Kid Cudi	Jacobs Pavilion at Nautica	United States Of America	US	Cleveland	44113	2014 Sycamore St.	41.481201	-81.698402	2022-09-17T18:00:00Z
61	62	3	Kid Cudi	Palais 12 - Paleis 12	Belgium	BE	Brussels	1020	Brussels Expo	50.90095	4.34368	2022-11-17T19:00:00Z
62	63	3	Kid Cudi - To The Moon	United Center	United States Of America	US	Chicago	60612	1901 W Madison	41.88124412	-87.67427375	2022-09-17T00:00:00Z
63	64	3	Kid Cudi | VIP Packages	Palais 12 - Paleis 12	Belgium	BE	Brussels	1020	Brussels Expo	50.90095	4.34368	
64	65	3	Kid Cudi - To The Moon	Rogers Arena	Canada	CA	Vancouver	V6B 6G1	800 Griffiths Way	49.2776612	-123.1081074	2022-09-24T02:00:00Z
65	66	3	KID CUDI - ENTERGALACTIC DIAMOND VIP		Netherlands	NL	Amsterdam	1101DS	Arena Boulevard 590	52.31236	4.94415	2022-11-13T19:00:00Z
66	67	3	KID CUDI - ENTERGALACTIC EMERALD VIP		Netherlands	NL	Amsterdam	1101DS	Arena Boulevard 590	52.31236	4.94415	2022-11-13T19:00:00Z
67	68	3	Kid Cudi - To The Moon World Tour	The O2	Great Britain	GB	London	SE10 0DX	Peninsula Square	51.501581	0.005519	2022-11-15T18:30:00Z
68	69	3	KID CUDI - TO THE MOON WORLD TOUR		Netherlands	NL	Amsterdam	1101DS	Arena Boulevard 590	52.31236	4.94415	2022-11-13T19:00:00Z
69	70	4	NIKI: The Nicole Tour	The Wiltern	United States Of America	US	Los Angeles	90010	3790 Wilshire Blvd.	34.06141494	-118.30879207	2022-10-23T02:00:00Z
70	71	4	NIKI: The Nicole Tour	House of Blues Chicago	United States Of America	US	Chicago	60654	329 N Dearborn St	41.88811537	-87.62931962	2022-10-11T23:00:00Z
71	72	4	NIKI: The Nicole Tour	Varsity Theater	United States Of America	US	Minneapolis	55414	1308 SE 4th Street	44.980837	-93.237034	2022-09-20T23:00:00Z
72	73	4	NIKI: The Nicole Tour	House of Blues Chicago	United States Of America	US	Chicago	60654	329 N Dearborn St	41.88811537	-87.62931962	2022-10-12T23:00:00Z
73	74	4	NIKI: The Nicole Tour	The Van Buren	United States Of America	US	Phoenix	85003	Van Buren	33.451085	-112.079228	2022-10-19T03:00:00Z
74	75	4	NIKI: The Nicole Tour	The Underground	United States Of America	US	Charlotte	28206	820 Hamilton St	35.240299	-80.845314	2022-10-06T00:00:00Z
75	76	4	NIKI: The Nicole Tour	The Fillmore Detroit	United States Of America	US	Detroit	48201	2115 Woodward (Next To the Fox)	42.4605914	-83.2129839	2022-09-24T23:00:00Z
76	77	4	NIKI: The Nicole Tour	The Phoenix Concert Theatre	Canada	CA	Toronto	M4X 1K2	410 Sherbourne Street	43.6644615	-79.3735993	2022-09-23T00:00:00Z
77	78	4	NIKI: The Nicole Tour	The Phoenix Concert Theatre	Canada	CA	Toronto	M4X 1K2	410 Sherbourne Street	43.6644615	-79.3735993	2022-09-24T00:00:00Z
78	79	4	NIKI: The Nicole Tour	Howard Theatre	United States Of America	US	Washington D.C.	20001	620 T Street NW	38.9153136	-77.0210937	2022-10-01T00:00:00Z
79	80	4	NIKI: The Nicole Tour- MOVED TO THE FILLMORE DETROIT!	The Fillmore Detroit	United States Of America	US	Detroit	48201	2115 Woodward (Next To the Fox)	42.4605914	-83.2129839	2022-09-24T23:00:00Z
80	81	6	Dua Lipa	Palais Theatre	Australia	AU	St Kilda	3183	Lower Esplanade	-37.867211	144.976413	2022-10-30T06:00:00Z
81	82	6	Dua Lipa Grada	Foro Sol	Mexico	MX	México	08400	Viaducto Piedad y Río Churubusco s/n Cd. Deportiva	19.405199	-99.095618	2022-09-22T01:30:00Z
82	83	6	Dua Lipa (Gradas)	Estadio Banorte	Mexico	MX	Monterrey	64849	Av. Ricardo Covarrubias No. 34, Col. Tecnológico	24.8333092	-107.4018326	2022-09-24T01:30:00Z
83	84	6	Dua Lipa (Cancha)	Estadio Banorte	Mexico	MX	Monterrey	64849	Av. Ricardo Covarrubias No. 34, Col. Tecnológico	24.8333092	-107.4018326	2022-09-24T01:30:00Z
84	85	6	Dua Lipa - Future Nostalgia Tour	Spark Arena	New Zealand	NZ	Auckland	1010	42 - 80 Mahuhu Crescent	-36.847021	174.77687	2022-11-02T06:30:00Z
85	86	6	Dua Lipa - Future Nostalgia Tour	Spark Arena	New Zealand	NZ	Auckland	1010	42 - 80 Mahuhu Crescent	-36.847021	174.77687	2022-11-03T06:30:00Z
86	87	6	Dua Lipa General A y B, Discap	Foro Sol	Mexico	MX	México	08400	Viaducto Piedad y Río Churubusco s/n Cd. Deportiva	19.405199	-99.095618	2022-09-22T01:30:00Z
87	88	8	Arctic Monkeys	Kings Theatre	United States Of America	US	Brooklyn	11226	1027 Flatbush Avenue	40.645943	-73.957275	2022-09-23T00:00:00Z
88	89	8	Arctic Monkeys	Riverstage 	Australia	AU	Brisbane	4000	59 Gardens Point Road	-27.47894	153.030025	2023-01-11T08:00:00Z
89	90	8	Arctic Monkeys Tribute	Live Room Cleckheaton	Great Britain	GB	Cleckheaton	BD19 5AA	10a Northgate	53.72412	-1.713715	2022-10-29T18:00:00Z
90	91	8	The Kopycat Killers, Scam Fender & the Sub-Arctic Monkeys: the Killers	Northumbria University	Great Britain	GB	Newcastle	NE1 8SB	2 Sandyford Road	54.979079	-1.608136	2022-11-19T18:00:00Z
91	92	8	Heaps Good	Adelaide Showground	Australia	AU	Wayville	5034	Goodwood Road	-34.957844	138.590021	2023-01-06T00:30:00Z
92	93	8	Heaps Good	Adelaide Showground	Australia	AU	Wayville	5034	Goodwood Road	-34.957844	138.590021	2023-01-06T00:30:00Z
93	94	8	FALLS BIRREGURRA	Pennyroyal Plains	Australia	AU	Birregurra	3242	265 Telegraph Rd	-38.41424931	143.76920396	
94	95	8	FALLS FREMANTLE	Fremantle Park	Australia	AU	Fremantle	6160	Ellen Street	-32.05067	115.753386	
95	96	8	FALLS BYRON BAY	North Byron Parklands	Australia	AU	Yelgun	2483	126 Tweed Valley Way	-28.481503	153.51529	
96	97	8	FALLS BYRON BAY	North Byron Parklands	Australia	AU	Yelgun	2483	126 Tweed Valley Way	-28.481503	153.51529	2022-12-30T22:00:00Z
97	98	8	Life is Beautiful Festival	Downtown Las Vegas	United States Of America	US	Las Vegas	89101	Fremont Street	36.161105	-115.121733	
98	99	8	Primavera Sound LA	Los Angeles State Historic Park	United States Of America	US	Los Angeles	90012	1245 N Spring St	34.0658419	-118.234441	
99	100	9	Ed Sheeran + - = ÷ x Tour	Eden Park	New Zealand	NZ	Auckland	1024	Reimers Ave	-36.8761749	174.7436981	
100	101	9	Ed Sheeran + - = ÷ x Tour	Eden Park	New Zealand	NZ	Auckland	1024	Reimers Ave	-36.8761749	174.7436981	
101	102	9	Ed Sheeran + - = ÷ x Tour	Optus Stadium	Australia	AU	Burswood	6100	333 Victoria Park Drive	-31.951204	115.889132	
102	103	9	2022 Formula 1 Aramco United States Grand Prix - Saturday Only	Circuit of The Americas	United States Of America	US	Austin	78617	9201 Circuit of The Americas Blvd	30.13526827	-97.63566001	2022-10-22T13:00:00Z
103	104	10	THE INCITERS w/ Lou Lou and Her Spizy Boyz plus DJ Mini	Moe's Alley	United States Of America	US	Santa Cruz	95065	1535 Commercial Way	36.9875105	-121.9828327	2022-10-29T04:00:00Z
104	105	10	Xponential Music Festival (3-Day Go Everywhere Pass)	Freedom Mortgage Pavilion (formerly BB&T Pavilion)	United States Of America	US	Camden	08103	1 Harbour Blvd	39.940917	-75.12875	
